name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Suzuki SX4 1.6,2008.0,15900.0,PLN,142114.0,Benzyna,1586.0,Będzin,https://www.otomoto.pl/oferta/suzuki-sx4-1-6i-sport-klimatronic-keylessgo-alu-15-podgrz-fotele-bezwypadkowy-ID6DBscl.html#0d5974c775
Audi A4,2006.0,21900.0,PLN,140344.0,Benzyna,1984.0,Oleśnica,https://www.otomoto.pl/oferta/audi-a4-piekny-stan-i-pelny-serwis-w-asotempomatduzanavi169parktrgrz-fot-ID6DCkZO.html#0d5974c775
Audi A8 4.2,2004.0,26900.0,PLN,299000.0,Benzyna+LPG,4172.0,Legnica,https://www.otomoto.pl/oferta/audi-a8-doinwestowana-quatro-fv-23-brutto-gaz-prince-4-2mpi-ID6DCkTV.html#0d5974c775
BMW Seria 3,2006.0,25500.0,PLN,159000.0,Benzyna,1997.0,Częstochowa,https://www.otomoto.pl/oferta/bmw-seria-3-bmw-e90-320-si-173km-m-pakiet-wersja-limitowana-czarna-podsufitka-ID6CdYd9.html#0d5974c775
Mercedes-Benz Klasa E 280,2005.0,24700.0,PLN,224200.0,Benzyna,2996.0,Września,https://www.otomoto.pl/oferta/mercedes-benz-klasa-e-e-280-3-0-v6-inst-lpg-brc-navi-webasto-dwa-komlety-kol-lato-zima-ID6DzCCB.html#0d5974c775
Alfa Romeo 159 1.9JTS,2007.0,25500.0,PLN,75045.0,Benzyna,1859.0,Kłodzko,https://www.otomoto.pl/oferta/alfa-romeo-159-tylko-75-000km-perfekcyjny-stan-z-serwisami-gwarancja-vip-ID6Dwn9m.html#0d5974c775
Opel Astra IV,2015.0,25830.0,PLN,220000.0,Benzyna+LPG,1598.0,Racibórz,https://www.otomoto.pl/oferta/opel-astra-zadbana-astra-ID6DhnjX.html#0d5974c775
Seat Exeo 1.8T,2009.0,25900.0,PLN,105070.0,Benzyna,1781.0,Starogard Gdański,https://www.otomoto.pl/oferta/seat-exeo-1-8-turbo150-koni18-calioplacony-ID6DxCIZ.html#0d5974c775
Audi A6 4.2,2004.0,21900.0,PLN,390000.0,Benzyna,4163.0,Radom,https://www.otomoto.pl/oferta/audi-a6-audi-a6-4-2-ID6Dxt4a.html#fdd6a95284
Mercedes-Benz W124 (1984-1993),1993.0,25000.0,PLN,233800.0,Diesel,1997.0,Lębork,https://www.otomoto.pl/oferta/mercedes-benz-w124-1984-1993-top-mercedes-e200d-w124-w-idealnym-stanie-ID6DhFJ0.html#fdd6a95284
Renault Fluence,2013.0,26900.0,PLN,153758.0,Benzyna,1598.0,Warszawa,https://www.otomoto.pl/oferta/renault-fluence-1-6-16v-110km-czujniki-park-usb-bluetooth-alufelgi-multifunkcja-ID6DldsS.html#fdd6a95284
Chevrolet Cruze,2010.0,23900.0,PLN,125761.0,Benzyna,1598.0,Warszawa,https://www.otomoto.pl/oferta/chevrolet-cruze-1-6-i-113km-czujniki-park-isofix-alufelgi-multifunkcja-ID6DtPLW.html#fdd6a95284
Citroën C-Elysée,2014.0,29900.0,PLN,50599.0,Benzyna,1587.0,Warszawa,https://www.otomoto.pl/oferta/citroen-c-elyse-1-6-vti-115km-bluetooth-usb-aux-radio-cd-isofix-ID6Dxzen.html#fdd6a95284
BMW Seria 3,2008.0,28000.0,PLN,162973.0,Benzyna,1995.0,Kraków,https://www.otomoto.pl/oferta/bmw-seria-3-318-i-klima-tempomat-parktronic-podgrzewane-siedzienia-ID6DAx9p.html#fdd6a95284
BMW Seria 3 318i,2006.0,19900.0,PLN,150000.0,Benzyna+LPG,1995.0,Komórki,https://www.otomoto.pl/oferta/bmw-seria-3-e90-b-g-150-tys-mozliwa-zamiana-ID6Dy6o4.html#fdd6a95284
BMW Seria 3,2008.0,27900.0,PLN,319158.0,Diesel,3000.0,Ostrów Mazowiecka,https://www.otomoto.pl/oferta/bmw-seria-3-3-0d-xenon-skora-nawigacja-alu-19-full-serwis-z-de-ID6DCjN2.html#fdd6a95284
Mercedes-Benz Klasa C W204,2008.0,25999.0,PLN,207000.0,Benzyna,1800.0,Mierzyn,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-200-kompressor-super-stan-w204-automat-ID6DuBs6.html#fdd6a95284
