name,year,price,currency,mileage (km),fuel type,disp (cm3),city,link
Lexus IS 200,1999.0,15900.0,PLN,221467.0,Benzyna,1988.0,Warszawa,https://www.otomoto.pl/oferta/lexus-is-lexus-is-200-ID6Dq0Hb.html#348b4246f2
Honda Accord,2005.0,16900.0,PLN,188000.0,Benzyna,1998.0,Łask,https://www.otomoto.pl/oferta/honda-accord-2-0-155km-sport-alu-klimatron-skora-tempomat-bezwypadkowa-188tkmserwis-ID6DqquG.html#348b4246f2
Volvo S40,2006.0,19000.0,PLN,157628.0,Benzyna,2521.0,Łódź,https://www.otomoto.pl/oferta/volvo-s40-t5-4x4-xenon-klimatronic-tempomat-alu-ID6DAZEh.html#348b4246f2
Chevrolet Aveo,2011.0,15000.0,PLN,49325.0,Benzyna,1206.0,Piaseczno,https://www.otomoto.pl/oferta/chevrolet-aveo-1-2-i-16v-salon-polska-przejechal-tylko-49325-km-klima-ID6DzqYh.html#a77f01051c
Chevrolet Cruze 1.6,2010.0,22900.0,PLN,141000.0,Benzyna,1598.0,Tuczno,https://www.otomoto.pl/oferta/chevrolet-cruze-automat-super-stan-najnizsza-cena-ID6Dxc5Z.html#a77f01051c
Mercedes-Benz Klasa C,2006.0,20000.0,PLN,166756.0,Benzyna,1796.0,Łódź,https://www.otomoto.pl/oferta/mercedes-benz-klasa-c-c-200-kompressor-salon-polska-serwis-aso-xenon-klimatronic-ID6Dzpn9.html#a77f01051c
Volkswagen Passat 1.4,2009.0,21200.0,PLN,179000.0,Benzyna,1390.0,Tarnów,https://www.otomoto.pl/oferta/volkswagen-passat-volkswagen-passat-b6-1-4tsi-ID6DAaXm.html#a77f01051c
Škoda Octavia 1.4,2010.0,21900.0,PLN,192000.0,Benzyna,1390.0,Józefin,https://www.otomoto.pl/oferta/skoda-octavia-ID6DAWqA.html#a77f01051c
BMW Seria 5 525i,2004.0,22600.0,PLN,303156.0,Benzyna,2494.0,Goczałkowice-Zdrój,https://www.otomoto.pl/oferta/bmw-seria-5-sprzedam-bmw-e60-525i-ID6Dxl2L.html#a77f01051c
Mercedes-Benz Klasa S,2003.0,24500.0,PLN,275000.0,Benzyna+LPG,4978.0,Przytoczna,https://www.otomoto.pl/oferta/mercedes-benz-klasa-s-s500-lpg-usa-4matic-zadbana-ID6DySwJ.html#a77f01051c
